iter	Passed	Remaining
876	975415	4585675
877	976536	4584604
878	977607	4583299
879	978775	4582450
880	979801	4580932
881	980959	4580035
882	981979	4578491
883	983112	4577480
884	984252	4576494
885	985406	4575577
886	986546	4574594
887	987678	4573575
888	988822	4572608
889	989832	4571022
890	990851	4569482
891	991886	4568017
892	992951	4566689
893	994075	4565632
894	995195	4564557
895	996223	4563061
896	997274	4561669
897	998435	4560781
898	999577	4559808
899	1000719	4558834
900	1001854	4557824
901	1002906	4556441
902	1004037	4555415
903	1005177	4554431
904	1006204	4552938
905	1007369	4552066
906	1008403	4550599
907	1009538	4549593
908	1010661	4548531
909	1011737	4547259
910	1012866	4546223
911	1014002	4545222
912	1015044	4543796
913	1016103	4542451
914	1017282	4541636
915	1018320	4540196
916	1019480	4539302
917	1020598	4538215
918	1021749	4537278
919	1022801	4535901
920	1023860	4534556
921	1025001	4533577
922	1026162	4532680
923	1027271	4531558
924	1028401	4530524
925	1029524	4529461
926	1030648	4528405
927	1031801	4527472
928	1032944	4526497
929	1034078	4525483
930	1035255	4524654
931	1036399	4523683
932	1037454	4522322
933	1038575	4521252
934	1039616	4519831
935	1040769	4518897
936	1041886	4517806
937	1043034	4516851
938	1044070	4515408
939	1045102	4513952
940	1046220	4512869
941	1047390	4512009
942	1048525	4510993
943	1049675	4510047
944	1050848	4509198
945	1051900	4507829
946	1053028	4506786
947	1054163	4505772
948	1055186	4504280
949	1056346	4503369
950	1057395	4501993
951	1058529	4500973
952	1059694	4500087
953	1060733	4498665
954	1061783	4497293
955	1062798	4495772
956	1063947	4494818
957	1065106	4493906
958	1066251	4492930
959	1067402	4491985
960	1068465	4490669
961	1069511	4489281
962	1070660	4488324
963	1071720	4486997
964	1072902	4486178
965	1074037	4485162
966	1075245	4484452
967	1076410	4483561
968	1077549	4482562
969	1078695	4481589
970	1079818	4480525
971	1080923	4479381
972	1081969	4477997
973	1083108	4476995
974	1084167	4475666
975	1085199	4474224
976	1086259	4472898
977	1087384	4471841
978	1088595	4471136
979	1089755	4470219
980	1090795	4468813
981	1091930	4467798
982	1093057	4466747
983	1094137	4465505
984	1095279	4464513
985	1096478	4463758
986	1097597	4462672
987	1098759	4461763
988	1099796	4460347
989	1100808	4458830
990	1101925	4457739
991	1102958	4456307
992	1103993	4454884
993	1105124	4453851
994	1106259	4452835
995	1107306	4451462
996	1108457	4450505
997	1109632	4449646
998	1110665	4448220
999	1111726	4446907
1000	1112837	4445790
1001	1113986	4444830
1002	1115183	4444058
1003	1116315	4443025
1004	1117438	4441958
1005	1118570	4440923
1006	1119712	4439932
1007	1120873	4439015
1008	1121984	4437900
1009	1123160	4437039
1010	1124199	4435639
1011	1125240	4434246
1012	1126361	4433172
1013	1127477	4432075
1014	1128610	4431047
1015	1129663	4429705
1016	1130879	4429001
1017	1131901	4427535
1018	1133040	4426530
1019	1134140	4425370
1020	1135274	4424346
1021	1136289	4422856
1022	1137423	4421830
1023	1138538	4420731
1024	1139658	4419651
1025	1140778	4418571
1026	1141917	4417564
1027	1142947	4416134
1028	1144093	4415154
1029	1145131	4413760
1030	1146311	4412909
1031	1147331	4411444
1032	1148360	4410014
1033	1149396	4408612
1034	1150514	4407527
1035	1151559	4406160
1036	1152693	4405132
1037	1153825	4404100
1038	1154991	4403197
1039	1156006	4401716
1040	1157174	4400821
1041	1158220	4399458
1042	1159367	4398484
1043	1160392	4397042
1044	1161550	4396108
1045	1162582	4394696
1046	1163729	4393719
1047	1164761	4392307
1048	1165901	4391304
1049	1166931	4389885
1050	1168055	4388822
1051	1169086	4387407
1052	1170155	4386136
1053	1171342	4385312
1054	1172478	4384291
1055	1173636	4383354
1056	1174791	4382405
1057	1175928	4381390
1058	1177105	4380521
1059	1178249	4379531
1060	1179395	4378547
1061	1180521	4377487
1062	1181657	4376469
1063	1182832	4375590
1064	1183869	4374201
1065	1185020	4373236
1066	1186161	4372234
1067	1187292	4371192
1068	1188307	4369726
1069	1189436	4368678
1070	1190556	4367596
1071	1191697	4366593
1072	1192819	4365519
1073	1193955	4364497
1074	1195022	4363220
1075	1196146	4362156
1076	1197174	4360737
1077	1198320	4359750
1078	1199503	4358900
1079	1200628	4357838
1080	1201833	4357062
1081	1202915	4355844
1082	1204041	4354784
1083	1205078	4353400
1084	1206212	4352371
1085	1207338	4351311
1086	1208389	4349978
1087	1209513	4348914
1088	1210648	4347884
1089	1211784	4346859
1090	1212814	4345454
1091	1213972	4344508
1092	1215025	4343187
1093	1216125	4342035
1094	1217259	4341001
1095	1218425	4340083
1096	1219478	4338765
1097	1220517	4337393
1098	1221552	4336011
1099	1222669	4334917
1100	1223808	4333904
1101	1224967	4332962
1102	1226106	4331944
1103	1227224	4330855
1104	1228267	4329504
1105	1229409	4328501
1106	1230534	4327435
1107	1231679	4326442
1108	1232786	4325312
1109	1233825	4323946
1110	1234894	4322686
1111	1235913	4321252
1112	1236954	4319892
1113	1238102	4318911
1114	1239138	4317537
1115	1240302	4316608
1116	1241428	4315546
1117	1242556	4314495
1118	1243703	4313505
1119	1244728	4312093
1120	1245780	4310779
1121	1246903	4309707
1122	1247966	4308429
1123	1249078	4307320
1124	1250274	4306501
1125	1251320	4305164
1126	1252453	4304126
1127	1253575	4303053
1128	1254597	4301635
1129	1255720	4300563
1130	1256756	4299197
1131	1257880	4298130
1132	1258932	4296815
1133	1260061	4295765
1134	1261106	4294427
1135	1262182	4293199
1136	1263304	4292124
1137	1264347	4290782
1138	1265535	4289932
1139	1266729	4289100
1140	1267775	4287769
1141	1268859	4286565
1142	1269961	4285424
1143	1271002	4284078
1144	1272146	4283079
1145	1273178	4281702
1146	1274308	4280655
1147	1275484	4279763
1148	1276615	4278716
1149	1277657	4277373
1150	1278788	4276331
1151	1279935	4275341
1152	1280993	4274052
1153	1282031	4272697
1154	1283191	4271748
1155	1284321	4270702
1156	1285467	4269708
1157	1286593	4268644
1158	1287637	4267311
1159	1288815	4266423
1160	1289839	4265023
1161	1290912	4263788
1162	1292041	4262735
1163	1293079	4261385
1164	1294196	4260294
1165	1295233	4258941
1166	1296371	4257918
1167	1297513	4256911
1168	1298623	4255796
1169	1299747	4254730
1170	1300855	4253609
1171	1302047	4252763
1172	1303210	4251821
1173	1304361	4250841
1174	1305506	4249839
1175	1306645	4248820
1176	1307748	4247682
1177	1308907	4246725
1178	1310015	4245606
1179	1311133	4244517
1180	1312314	4243631
1181	1313438	4242560
1182	1314621	4241680
1183	1315765	4240676
1184	1316918	4239699
1185	1318081	4238755
1186	1319214	4237713
1187	1320334	4236630
1188	1321457	4235553
1189	1322577	4234470
1190	1323711	4233431
1191	1324736	4232044
1192	1325773	4230696
1193	1326948	4229785
1194	1328104	4228817
1195	1329136	4227453
1196	1330264	4226396
1197	1331393	4225340
1198	1332427	4223985
1199	1333588	4223031
1200	1334738	4222040
1201	1335889	4221056
1202	1337004	4219955
1203	1338153	4218961
1204	1339224	4217724
1205	1340357	4216681
1206	1341486	4215623
1207	1342661	4214711
1208	1343735	4213483
1209	1344919	4212600
1210	1345953	4211244
1211	1347085	4210196
1212	1348097	4208776
1213	1349235	4207746
1214	1350353	4206656
1215	1351506	4205675
1216	1352549	4204349
1217	1353677	4203292
1218	1354812	4202252
1219	1355980	4201316
1220	1357010	4199953
1221	1358149	4198925
1222	1359174	4197549
1223	1360292	4196456
1224	1361347	4195173
1225	1362513	4194231
1226	1363630	4193135
1227	1364783	4192153
1228	1365844	4190887
1229	1366980	4189850
1230	1368123	4188836
1231	1369157	4187487
1232	1370320	4186534
1233	1371356	4185193
1234	1372513	4184221
1235	1373543	4182861
1236	1374609	4181614
1237	1375639	4180255
1238	1376790	4179265
1239	1377906	4178169
1240	1378952	4176858
1241	1379993	4175536
1242	1381125	4174487
1243	1382310	4173598
1244	1383445	4172560
1245	1384499	4171276
1246	1385528	4169917
1247	1386603	4168699
1248	1387748	4167688
1249	1388867	4166601
1250	1390026	4165633
1251	1391151	4164566
1252	1392295	4163552
1253	1393413	4162461
1254	1394540	4161398
1255	1395703	4160441
1256	1396825	4159360
1257	1397950	4158293
1258	1399074	4157217
1259	1400218	4156204
1260	1401354	4155167
1261	1402504	4154168
1262	1403681	4153253
1263	1404727	4151948
1264	1405766	4150623
1265	1406962	4149761
1266	1408105	4148742
1267	1409252	4147735
1268	1410389	4146701
1269	1411538	4145699
1270	1412703	4144745
1271	1413842	4143715
1272	1414964	4142633
1273	1416094	4141575
1274	1417135	4140259
1275	1418169	4138919
1276	1419326	4137942
1277	1420348	4136571
1278	1421486	4135535
1279	1422566	4134332
1280	1423681	4133232
1281	1424697	4131845
1282	1425742	4130542
1283	1426782	4129224
1284	1427917	4128180
1285	1429042	4127111
1286	1430207	4126154
1287	1431231	4124790
1288	1432268	4123466
1289	1433384	4122370
1290	1434464	4121167
1291	1435609	4120155
1292	1436742	4119107
1293	1437792	4117819
1294	1438832	4116506
1295	1439901	4115273
1296	1441026	4114201
1297	1442174	4113198
1298	1443197	4111834
1299	1444223	4110482
1300	1445309	4109299
1301	1446357	4108010
1302	1447492	4106968
1303	1448622	4105911
1304	1449666	4104610
1305	1450799	4103564
1306	1451958	4102589
1307	1453088	4101529
1308	1454271	4100623
1309	1455300	4099281
1310	1456366	4098044
1311	1457395	4096703
1312	1458441	4095411
1313	1459516	4094197
1314	1460606	4093030
1315	1461757	4092032
1316	1462809	4090757
1317	1463964	4089771
1318	1465031	4088536
1319	1466156	4087467
1320	1467216	4086214
1321	1468344	4085153
1322	1469450	4084028
1323	1470590	4082997
1324	1471741	4082000
1325	1472869	4080936
1326	1474052	4080025
1327	1475195	4079003
1328	1476237	4077704
1329	1477382	4076687
1330	1478503	4075605
1331	1479529	4074258
1332	1480655	4073190
1333	1481783	4072126
1334	1482938	4071138
1335	1484096	4070155
1336	1485227	4069100
1337	1486371	4068081
1338	1487432	4066833
1339	1488449	4065466
1340	1489507	4064210
1341	1490556	4062932
1342	1491730	4061994
1343	1492759	4060660
1344	1493797	4059352
1345	1494836	4058046
1346	1495993	4057063
1347	1497146	4056066
1348	1498291	4055049
1349	1499427	4054007
1350	1500547	4052921
1351	1501690	4051899
1352	1502831	4050869
1353	1503983	4049870
1354	1505078	4048716
1355	1506253	4047779
1356	1507295	4046483
1357	1508344	4045206
1358	1509543	4044331
1359	1510732	4043430
1360	1511864	4042377
1361	1512942	4041178
1362	1514058	4040081
1363	1515192	4039032
1364	1516248	4037774
1365	1517400	4036773
1366	1518528	4035709
1367	1519654	4034638
1368	1520848	4033747
1369	1521899	4032477
1370	1523054	4031483
1371	1524210	4030492
1372	1525386	4029554
1373	1526441	4028295
1374	1527497	4027038
1375	1528625	4025972
1376	1529662	4024667
1377	1530835	4023718
1378	1531892	4022468
1379	1532941	4021194
1380	1534106	4020225
1381	1535131	4018889
1382	1536172	4017595
1383	1537320	4016583
1384	1538362	4015291
1385	1539409	4014015
1386	1540473	4012782
1387	1541606	4011730
1388	1542776	4010774
1389	1543919	4009748
1390	1544946	4008418
1391	1546076	4007359
1392	1547224	4006344
1393	1548271	4005068
1394	1549330	4003824
1395	1550366	4002521
1396	1551399	4001210
1397	1552566	4000246
1398	1553653	3999074
1399	1554772	3997987
1400	1555885	3996883
1401	1557014	3995819
1402	1558058	3994537
1403	1559196	3993496
1404	1560324	3992430
1405	1561455	3991372
1406	1562598	3990346
1407	1563742	3989320
1408	1564881	3988282
1409	1565931	3987016
1410	1566962	3985703
1411	1568053	3984542
1412	1569226	3983592
1413	1570363	3982548
1414	1571486	3981469
1415	1572525	3980178
1416	1573656	3979119
1417	1574815	3978130
1418	1576081	3977412
1419	1577142	3976176
1420	1578357	3975329
1421	1579511	3974326
1422	1580671	3973338
1423	1581790	3972249
1424	1582980	3971336
1425	1584002	3970003
1426	1585146	3968976
1427	1586237	3967815
1428	1587437	3966927
1429	1588662	3966102
1430	1589767	3964976
1431	1590936	3964010
1432	1592093	3963012
1433	1593241	3961995
1434	1594408	3961022
1435	1595633	3960192
1436	1596709	3958995
1437	1597838	3957927
1438	1599002	3956948
1439	1600240	3956151
